Subject Line A;Subject Line B;Target
A Community Garage Sale!;Heads up! A community garage sale is set for next...;B
Certified Sitter Available!;Experienced babysitter available! I'm certified in CPR and have five...;B
I'm planning;I'm planning a plant exchange next month. Bring your cuttings,...;A
Lost Dog Alert: Missing from near Central Park since yesterday.;Lost Dog Alert: Missing from near Central Park since yesterday....;A
Street Fair this Saturday!;Street Fair this Saturday! Join us from noon to 5...;B
Important Discussions on Budget and New School Policies;Reminder: School board meeting tonight at 8 PM in the...;A
The Book of the Month is 'The Great Gatsby';Book Lover's Club is meeting this Wednesday at the library....;B
Yard Waste Pickup Starts This Friday;Yard waste pickup starts this Friday. Please have your leaves...;B
A New Coffee Shop, Bean There, is Opening this Monday;A new coffee shop, Bean There, is opening on Elm...;A
Community Alert: Be on the lookout for suspicious activity near...;Community Alert: Be on the lookout for suspicious activity near...;B
Fitness Fun Day this Wednesday at 5 PM.;Fitness Fun Day at the Community Center this Wednesday at...;A
Seeking Volunteers for Local Food Pantry this Saturday;Seeking volunteers for the local food pantry this Saturday. Help...;A
Got Extra Garden Tools?;Got extra garden tools? The community garden is accepting donations....;B
Raising Money for School Trip;My daughter is raising money for her school trip by...;A
Bike Sale: Selling several gently used bikes;Bike Sale: Selling several gently used bikes Saturday at 111...;B
Found Cat: Grey tabby near Willow Park...;Found Cat: Grey tabby found near Willow Park. Appears well...;B
Local Artist Showcase at the Art Center this Friday;Local artist showcase at the Art Center this Friday. Come...;A
Karaoke night at the Oak Tree Tavern!;Karaoke night at the Oak Tree Tavern this Thursday night!...;A
Free cooking class this Monday!;Free cooking class at the public kitchen this Monday. Learn...;A
Garage Sale Tips Workshop at the Community Hall;Garage Sale Tips Workshop at the Community Hall this Tuesday...;B
Need Help with Fall Leaf Removal?;Need help with fall leaf removal? Contact Jake at 555-2341....;A
Historic Walk through Old Town this Saturday morning.;Join the Historic Walk through old town this Saturday morning....;A
Puppy Training Sessions Start Next Week;Puppy Training Sessions start next week at the Animal Welfare...;B
Local Theater Auditions for 'Romeo and Juliet';Local theater group holding auditions for 'Romeo and Juliet'. Experienced...;B
Anyone Know of a Good Piano Tuner in the Area?;Anyone know of a good piano tuner in the area?...;B
Neighborhood Watch Introduction this Thursday at 6 PM;Neighborhood Watch Introduction meeting this Thursday at the town hall...;B
Annual Pancake Breakfast;Annual Pancake Breakfast at the firehouse this weekend. Come enjoy...;B
Lost Keys near Market Street;Lost Keys near Market Street. Set of car and house...;B
I Found a Set of Keys;I found a set of keys near the bus stop...;A
FOUND: A small pouch containing various crafting tools;Found: A small pouch containing various crafting tools, left behind...;A
Meet at the town square at 9 AM;Volunteers are needed for the downtown clean-up day next Saturday....;B
"Auditions for summer production of ""Grease""";The local theater is holding auditions for its summer production...;A
A Friendly Reminder That Property Taxes Are Due At The...;A friendly reminder that property taxes are due at the...;B
Lost: A Blue And White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...;A
I’m Trying to Find a Home for a Friendly Stray...;I’m trying to find a home for a friendly stray...;B
I'm offering Free Tech Help;I'm offering free tech help for seniors this Friday at...;A
A Wallet Was Found Near Central Park;A wallet was found near the outdoor gym in Central...;B
The local art club is holding an;The local art club is holding an outdoor painting session...;A
Attention, gardeners!;Attention, gardeners! The community garden is now accepting applications for...;A
Lost: A gold bracelet in the vicinity of Pine Street...;Lost: A gold bracelet in the vicinity of Pine Street...;B
The community is offering a series of free workshops;The community college is offering a series of free workshops...;A
Meet the Author this Friday;"The public library is starting a new series called ""Meet...";B
Starting a Community Cycling Group;We're starting a community cycling group that will meet every...;A
Our Local History Group;Our local history group is seeking old photographs and stories...;B
Lost: A small drone with a camera attachment was;Lost: A small drone with a camera attachment was last...;A
Volunteers Needed! The Community Garden;Volunteers needed! The community garden is looking for extra hands...;B
Let's Clean Up Our Beaches!;Let's clean up our beaches! I'm organizing a beach clean-up...;A
The Quarterly Homeowner's Association Meeting;Reminder: The quarterly homeowner’s association meeting will be held next...;B
Found: A set of keys near the playground.;Found: A set of keys near the playground. They have...;B
The local school is collecting Books;The local school is collecting gently used books for their...;A
Can Anyone Recommend a Good Electrician?;Can anyone recommend a good electrician? My porch lights need...;B
For Sale: Barely-Used Mountain Bike;For sale: A barely-used mountain bike, suitable for teens or...;A
The neighborhood watch alerts you to;The neighborhood watch alerts you to a recent increase in...;B
Pet Adoption Day This Saturday at the Animal Shelter;Pet adoption day this Saturday at the animal shelter! Come...;B
The local jazz club is featuring a;The local jazz club is featuring a new band this...;A
Annual Charity Run Benefitting the Children's Hospital;Annual charity run benefitting the children's hospital is coming up....;B
Sunday Garage Sale 45 Oak St.;Garage sale! This Sunday from 8 AM to 12 PM...;A
I Lost a Small Drone in the Park;"I lost a small drone in the park yesterday; it's...";A
A Silver Wristwatch Near the Tennis Courts;Lost: A silver wristwatch near the tennis courts. It has...;B
The town council is seeking input on the new park;The town council is seeking input on the new park...;A
Reminder: Waste Collection Will Be;Reminder: Next week’s waste collection will be on Wednesday, not...;B
Found Cat: An orange tabby with no collar was found...;Found Cat: An orange tabby with no collar was found...;B
Local Art Exhibition this Weekend;Local art exhibition this weekend at the community center. Come...;B
A Two-Bedroom Apartment with a Lovely View of the Downtown...;For rent: A two-bedroom apartment with a lovely view of...;A
Yoga Classes Starting Next Month;Yoga classes starting next month at the park. Experienced instructors,...;B
Students can study late until;The library is extending its hours for finals week. Students...;A
Neighborhood BBQ this Saturday!;Neighborhood BBQ this Saturday! Bring your favorite dish and join...;A
Lost Black Labrador;Lost dog: A black Labrador, last seen near the grocery...;B
A red bicycle was found;Attention all! A red bicycle was found locked outside the...;B
Looking for fellow crafters interested in starting a weekly crafting...;Looking for fellow crafters interested in starting a weekly crafting...;B
Safety Tip: With the Recent Storms, Ensure;Safety tip: With the recent storms, ensure that all outdoor...;B
Traveling Book Club Meets Monday;Traveling book club meets next Monday. This month’s book is...;A
Join Our Next Outing This Sunday at 9 AM;Hiking group! Interested in exploring local trails with fellow outdoor...;A
Found Bicycle near Community Hall;Found bicycle near the community hall. It's a children's bike,...;A
Health Awareness Workshop;Health awareness workshop on managing stress, hosted by the wellness...;A
Artisans market! Local craftspeople;Artisans market! Local craftspeople will be selling homemade goods this...;A
Roadworks on Main St. starting next week.;Traffic note: Roadworks on Main St. starting next week. Expect...;B
Learn how to make Italian dishes from a professional chef.;Community cooking class: Learn how to make Italian dishes from...;A
The Local Animal Shelter Is Seeking Donations;The local animal shelter is seeking donations of pet food,...;B
Join Our Monthly Gardening Club This Saturday;Reminder for all gardening enthusiasts! Join our monthly gardening club...;B
I Want to Join a Fantasy Football League;Does anyone want to join a fantasy football league? I'm...;A
Bring Your Favorite Dish to the Community Potluck!;Community Potluck! Bring your favorite dish and join us at...;B
Fitness Challenge;Fitness Challenge: We are starting a community fitness challenge next...;B
Opportunity to Volunteer!;Opportunity to Volunteer! Local food bank needs volunteers this weekend....;B
Book Club Alert: Our neighborhood book club is reading;Book Club Alert: Our neighborhood book club is reading 'The...;B
Jazz Nights Are Back at the Local Cafe;Jazz Nights are back at the local cafe! Come enjoy...;B
A Golden Retriever Has Gone Missing;Lost Dog: A golden retriever named Buddy has gone missing...;B
Learn the basics of computer programming;Tech Workshop: Learn the basics of computer programming at our...;A
Yard Sale this Saturday!;Yard Sale this Saturday! Multiple houses participating on Maple Street....;B
Join us for a Photography Walk Next Sunday;Photography Club: Join us for a photography walk next Sunday....;A
Joining a Weekend Cycling Group This Saturday;Cycling Group: Interested in joining a weekend cycling group? Meet...;A
I'm Launching a Local Newsletter;I’m launching a local newsletter focused on community events, small...;B
Neighborhood Watch Meeting this Wednesday evening at;Neighborhood Watch Meeting: Keep our community safe by joining the...;A
Karaoke Night at the local bar this;Karaoke Night at the local bar this Thursday! Show off...;B
School Registration is Open;Reminder: School registration is open. Please register your children for...;B
Learn how to create your own home decorations;DIY Workshop: Learn how to create your own home decorations...;B
Road Closure Alert: Main Street;Road Closure Alert: Main Street will be closed this weekend...;A
Bring your kids to a delightful puppet show;Puppet Show for Kids: Bring your kids to the community...;A
Join us for a lecture on the history of;Historical Society Lecture: Join us for a lecture on the...;B
Get in shape with our morning fitness boot;Fitness Bootcamp: Get in shape with our morning fitness boot...;B
Garden Exchange: Swap plants and gardening tips next Saturday;Garden Exchange: Swap plants and gardening tips with fellow garden...;B
Volunteer at the Senior Center;Volunteer at the Senior Center: Spend time with our senior...;A
Organic Gardening Workshop Next Month;Our community garden is hosting a workshop on organic gardening...;A
Art Exhibition;Art Exhibition: Local artists will be showcasing their work at...;B
Cleanup Day: Join us for a;Cleanup Day: Join us for a community cleanup day next...;B
Enjoy a night of laughs at the;Comedy Night: Enjoy a night of laughs at the comedy...;A
Free Health Screenings and Wellness Tips;Health Fair: Free health screenings and wellness tips available at...;B
A Recent Model Smartphone Was;Lost Phone: A recent model smartphone was found near the...;B
Get Your Flu Shot;Seasonal Flu Shots: Get your flu shot at the local...;B
Bake Sale;Bake Sale: Support our high school band by buying some...;B
Help green our neighborhood by joining the tree planting;Tree Planting: Help green our neighborhood by joining the tree...;B
A Wallet was Found in Central Park;A wallet was found near the outdoor gym in Central...;B
Lost Cat: My Grey Tabby Has Been Missing;Lost cat: My grey tabby, Misty, has been missing since...;B
I've got a great home theater setup;Anyone interested in a weekly movie night at my place?...;A
The annual food drive starts next;The annual food drive for the local pantry starts next...;A
A small black notebook containing important research notes, last seen...;Lost: A small black notebook containing important research notes, last...;A
Community Garden Plots Available for Upcoming Season;Our community garden has a few plots available for the...;B
Set of keys in Lincoln Park;Found: Set of keys in Lincoln Park. Includes a keychain...;A
For Sale: Children's Bicycles in Good Condition;For sale: Children’s bicycles in good condition. Available in sizes...;B
Hunting Season Reminder: Please be aware of increased;Hunting Season Reminder: Please be aware of increased hunting activity...;B
Join us every Saturday at 10 AM in;Community Yoga Meetup: Join us every Saturday at 10 AM...;A
Huge Sale this Saturday and Sunday;Garage Sale: Multiple families on Maple Street are coming together...;B
Missing: Blue Parakeet;Missing: Blue parakeet named 'Sky'. Last seen around North Plaza....;A
Seeking a reliable babysitter for Tuesday;Babysitter Needed: Seeking a reliable babysitter for Tuesday and Thursday...;B
I’m trying to find a home;I’m trying to find a home for a friendly stray...;B
Keep an eye out for suspicious activities...;Neighborhood Watch Update: Keep an eye out for suspicious activities...;B
Free Painting Lessons;Free Painting Lessons: Offered by the community center every Wednesday....;B
Carpool Opportunity: Anyone interested in carpooling from Pine Street to...;Carpool Opportunity: Anyone interested in carpooling from Pine Street to...;A
Lost: Green scarf with a floral pattern;Lost: Green scarf with a floral pattern, sentimental value. Lost...;B
Join us at the local church next Thursday evening;Piano Recital: Join us at the local church next Thursday...;A
Tree Planting Day: Help beautify our;Tree Planting Day: Help beautify our neighborhood this coming Sunday....;B
Lost: A small drone with a camera attachment was last...;Lost: A small drone with a camera attachment was last...;B
Volunteers Needed! The Community Garden Is Looking;Volunteers needed! The community garden is looking for extra hands...;A
Reminder: Quarterly Homeowner's Association Meeting;Reminder: The quarterly homeowner’s association meeting will be held next...;B
Does Anyone Have a Ladder;Does anyone have a ladder I can borrow for a...;A
A Set of Keys Near the Playground;Found: A set of keys near the playground. They have...;A
Annual Book Drive;The local school is collecting gently used books for their...;B
Can Anyone Recommend a Good Electrician?;Can anyone recommend a good electrician? My porch lights need...;B
For sale: A barely-used mountain bike;For sale: A barely-used mountain bike, suitable for teens or...;A
The neighborhood watch alerts you to a recentincrease;The neighborhood watch alerts you to a recent increase in...;B
Pet Adoption Day this Saturday at;Pet adoption day this Saturday at the animal shelter! Come...;B
The local jazz club is featuring;The local jazz club is featuring a new band this...;B
Annual Charity Run;Annual charity run benefitting the children's hospital is coming up....;A
This Sunday from 8 AM to 12 PM;Garage sale! This Sunday from 8 AM to 12 PM...;B
I Lost a silver wristwatch near the tennis courts;Lost: A silver wristwatch near the tennis courts. It has...;A
I’m Offering a Reward;I’m offering a reward for anyone who can help find...;B
The town council is seeking input on the new park...;The town council is seeking input on the new park...;B
Reminder: Wednesday's Waste Collection;Reminder: Next week’s waste collection will be on Wednesday, not...;A
Found Cat;Found Cat: An orange tabby with no collar was found...;B
Local Art Exhibition This Weekend;Local art exhibition this weekend at the community center. Come...;A
A Two-Bedroom Apartment with a Lovely View of the Downtown...;For rent: A two-bedroom apartment with a lovely view of...;A
Yoga classes starting next month;Yoga classes starting next month at the park. Experienced instructors,...;B
The library is extending its hours;The library is extending its hours for finals week. Students...;B
Neighborhood BBQ this Saturday!;Neighborhood BBQ this Saturday! Bring your favorite dish and join...;A
Lost Dog: A black Labrador last seen near the grocery...;Lost dog: A black Labrador, last seen near the grocery...;B
Safety Tip: With the recent storms, ensure that all outdoor...;Safety tip: With the recent storms, ensure that all outdoor...;B
Tuesday Water Maintenance on Main Street;Just a heads up, the water department will be conducting...;B
Traveling Book Club Next Monday;Traveling book club meets next Monday. This month’s book is...;A
Hiking Group! Interested in Exploring Local Trails;Hiking group! Interested in exploring local trails with fellow outdoor...;B
Found Bicycle near the community hall...;Found bicycle near the community hall. It's a children's bike,...;A
Health Awareness Workshop;Health awareness workshop on managing stress, hosted by the wellness...;B
Artisans market!;Artisans market! Local craftspeople will be selling homemade goods this...;B
Roadworks on Main St. starting next week;Traffic note: Roadworks on Main St. starting next week. Expect...;A
Learn How to Make Italian Dishes from a Professional Chef;Community cooking class: Learn how to make Italian dishes from...;B
The Local Animal Shelter Seeks Donations;The local animal shelter is seeking donations of pet food,...;A
Join Our Monthly Gardening Club This;Reminder for all gardening enthusiasts! Join our monthly gardening club...;A
Community Potluck! Bring your favorite dish;Community Potluck! Bring your favorite dish and join us at...;B
Excited to announce the grand opening of the;We're excited to announce the grand opening of the new...;B
Fitness Challenge: We are starting;Fitness Challenge: We are starting a community fitness challenge next...;A
Opportunity to Volunteer!;Opportunity to Volunteer! Local food bank needs volunteers this weekend....;B
Book Club Alert: Our neighborhood book club is reading;Book Club Alert: Our neighborhood book club is reading 'The...;B
Jazz Nights are Back at the Local Cafe;Jazz Nights are back at the local cafe! Come enjoy...;B
Lost Dog: A Golden Retriever;Lost Dog: A golden retriever named Buddy has gone missing...;A
Learn the basics of computer programming;Tech Workshop: Learn the basics of computer programming at our...;B
Yard Sale this Saturday!;Yard Sale this Saturday! Multiple houses participating on Maple Street....;A
Join us for a photography walk next Sunday;Photography Club: Join us for a photography walk next Sunday....;B
Cycling Group: Meet us at the community center this Saturday...;Cycling Group: Interested in joining a weekend cycling group? Meet...;B
Neighborhood Watch Meeting: Keep our community;Neighborhood Watch Meeting: Keep our community safe by joining the...;A
I'm on the lookout for a Tai Chi class;I'm on the lookout for a Tai Chi class close...;B
This Saturday's Pet Vaccination Drive;Reminder: The annual pet vaccination drive is happening this Saturday...;A
Karaoke Night this Thursday!;Karaoke Night at the local bar this Thursday! Show off...;A
Reminder: Registration is Open;Reminder: School registration is open. Please register your children for...;B
Create Your Own Home Decorations;DIY Workshop: Learn how to create your own home decorations...;B
Road Closure Alert;Road Closure Alert: Main Street will be closed this weekend...;A
Puppet Show for Kids;Puppet Show for Kids: Bring your kids to the community...;B
This Tuesday at the community center;Historical Society Lecture: Join us for a lecture on the...;B
Get in shape with our morning fitness boot camp at...;Fitness Bootcamp: Get in shape with our morning fitness boot...;B
Garden Exchange: Swap plants and gardening tips next Saturday;Garden Exchange: Swap plants and gardening tips with fellow garden...;A
Volunteer at the Senior Center: Spend;Volunteer at the Senior Center: Spend time with our senior...;B
Local artists will be showcasing;Art Exhibition: Local artists will be showcasing their work at...;A
Lost: A Small, Black Leather Wallet;Lost: a small, black leather wallet near the high school...;B
Join us for a community cleanup day next month.;Cleanup Day: Join us for a community cleanup day next...;B
Enjoy a night of laughs this Friday;Comedy Night: Enjoy a night of laughs at the comedy...;A
Free health screenings and wellness tips;Health Fair: Free health screenings and wellness tips available at...;B
A Recent Model Smartphone Was Found;Lost Phone: A recent model smartphone was found near the...;A
Get Your Flu Shot at the Local Clinic This Weekend;Seasonal Flu Shots: Get your flu shot at the local...;A
Bake Sale;Bake Sale: Support our high school band by buying some...;B
Tree Planting Event;Tree Planting: Help green our neighborhood by joining the tree...;B
A Wallet Was Found in Central Park;A wallet was found near the outdoor gym in Central...;A
Lost Cat: My grey tabby, Misty, has been missing...;Lost cat: My grey tabby, Misty, has been missing since...;B
The Annual Food Drive Starts Next Week;The annual food drive for the local pantry starts next...;B
Free Course on Home Fire Safety;The local fire department will be offering a free course...;B
Lost: A small black notebook containing important research notes, last...;Lost: A small black notebook containing important research notes, last...;A
Our Community Garden Has A Few Plots Available;Our community garden has a few plots available for the...;B
Found: Set of keys in Lincoln Park;Found: Set of keys in Lincoln Park. Includes a keychain...;A
For sale: Children's bicycles in good condition;For sale: Children’s bicycles in good condition. Available in sizes...;B
Hunting Season Reminder: Please Be Aware of Increased;Hunting Season Reminder: Please be aware of increased hunting activity...;B
Join us every Saturday at 10 AM;Community Yoga Meetup: Join us every Saturday at 10 AM...;A
Garage Sale: Multiple families on Maple Street are coming together...;Garage Sale: Multiple families on Maple Street are coming together...;B
Missing Blue Parakeet;Missing: Blue parakeet named 'Sky'. Last seen around North Plaza....;A
Babysitter Needed;Babysitter Needed: Seeking a reliable babysitter for Tuesday and Thursday...;A
Neighborhood Watch Update: Keep an Eye Out for Suspicious Activities...;Neighborhood Watch Update: Keep an eye out for suspicious activities...;B
Attention, gardeners! The community garden is now acepting app;Attention, gardeners! The community garden is now accepting applications for...;B
Free Painting Lessons;Free Painting Lessons: Offered by the community center every Wednesday....;A
Carpool Opportunity;Carpool Opportunity: Anyone interested in carpooling from Pine Street to...;B
Lost: Green Scarf with a Floral Pattern;Lost: Green scarf with a floral pattern, sentimental value. Lost...;B
Join us at the local church next Thursday evening for;Piano Recital: Join us at the local church next Thursday...;B
Meet at the community park at 9 AM.;Tree Planting Day: Help beautify our neighborhood this coming Sunday....;A
Road Closure Next Friday on Elm Street;Notice: Road closure next Friday on Elm Street from 8...;B
Volunteer Call: Assistance needed at the senior center for weekly...;Volunteer Call: Assistance needed at the senior center for weekly...;A
One-bedroom apartment on Birch Street.;For Rent: One-bedroom apartment on Birch Street. Great condition, close...;B
Lost Dog: Black Labrador, named Rocky;Lost Dog: Black Labrador, named Rocky. Last seen in the...;B
Pool Opening;Pool Opening: The community pool will open next month. Season...;A
We've noticed an increase in;We've noticed an increase in graffiti and vandalism at the...;B
Lost Drone: A white drone lost during a test flight...;Lost Drone: A white drone lost during a test flight...;A
This Sunday Outside the Community Hall;Bake Sale: This Sunday outside the community hall. All proceeds...;B
Warning: Bear Sighting Near Cedar Grove;Warning: Bear sightings reported near Cedar Grove. Be cautious when...;A
Local Artists Display Their Work;Art Exhibition: Local artists display their work this weekend at...;B
Found Dog: Small poodle mix found wandering near the;Found Dog: Small poodle mix found wandering near the market...;A
Documentary Screening: 'The History of Our Town' this Tuesday evening.;Documentary Screening: 'The History of Our Town' at the cinema...;B
Appel For Old Laptops;Appeal for old laptops and tablets for local school. If...;A
Annual High School Craft Bazaar;The high school's annual craft bazaar is next weekend. Come...;B
I'm a professional photographer offering mini;I'm a professional photographer offering mini photo sessions this weekend...;A
The City Park Department is Looking for Volunteers;The city park department is looking for volunteers to help...;B
The annual 5K fun run to support local schools is...;The annual 5K fun run to support local schools is...;A
The community is looking for musicians who play woodwind instruments.;The community orchestra is looking for musicians who play woodwind...;B
The City's Annual Tree Planting Event This Saturday;Reminder: The city’s annual tree planting event is happening this...;A
If anyone needs assistance with fall;If anyone needs assistance with fall yard cleanup, our high...;B
Anyone Know of a Good Piano Tuner;Anyone know of a good piano tuner in the area?...;A
A Gentle Reminder;A gentle reminder to all residents: Please keep your lawns...;B
Reminder to all residents to adhere to the recycling guidelines;A reminder to all residents to adhere to the recycling...;A
I Lost A Silver Bracelet Somewhere Between Park Avenue And;I lost a silver bracelet somewhere between Park Avenue and...;B
Join our new community choir!;Join our new community choir! Whether you're a seasoned singer...;A
Boost Your Career with Our Evening Classes;Boost your career with our evening classes in web design...;B
Lost Your GoPro at Ridgeback Mountain?;Lost your GoPro at Ridgeback Mountain? Describe its videos or...;A
Please return overdue books.;A gentle reminder from the public library: Please return overdue...;B
Take a step towards sustainability with our upcoming;Take a step towards sustainability with our upcoming workshop at...;A
Cyclists Make Your Mark on the City;Cyclists, make your mark on the city! Share your ideas...;B
Delve into our town's past;Local history enthusiasts wanted for a newly forming club. Delve...;A
Got Green Fingers?;Got green fingers? Join our community garden group this spring....;B
Are You Ready to Showcase Your Culinary Skills?;Are you ready to showcase your culinary skills? Our annual...;A
Help Kids Improve Their Literacy Skills;Volunteers needed for our library's reading program. Help kids improve...;B
Is Your Pet a Star?;Is your pet a star? Enter them into our annual...;A
Discover the joys of pottery at our;Discover the joys of pottery at our local arts center....;B
Looking for a yoga class?;Looking for a yoga class? Join our morning sessions by...;A
Our community theatre needs your talents!;Our community theatre needs your talents! Auditions for the upcoming...;B
Volunteers Needed!;Volunteers needed! We're looking for community members to help organize...;A
Neighborhood Garage Sale This Weekend!;Neighborhood garage sale this weekend! Clear out your clutter or...;B
Be part of our annual;Be part of our annual fun run! Whether you sprint...;A
Safety first!;Safety first! Join our workshop on home security and personal...;B
Local Artist Showcase this Friday;Local artist showcase at our gallery this Friday. Come admire...;A
Teen Tech Whizzes! We’re Starting a Robotics Club. Build,;Teen tech whizzes! We’re starting a robotics club. Build, code,...;B
Book Lovers, Join Our Monthly Reading Club;Book lovers, join our monthly reading club. We pick exciting...;A
Attend this Sunday Handmade goods from local artisans;Attend our craft market this Sunday. Handmade goods from local...;B
Join our beach cleanup this weekend;Want to make a difference? Join our beach cleanup this...;A
Game Night at the Community Center!;Game night at the community center! Bring your favorite board...;B
Free Health Screening This Saturday;Free health screening at our local clinic this Saturday. Know...;A
Lost Dog Alert: A Golden Retriever...;Lost dog alert: A golden retriever, wearing a blue collar...;B
Revitalize Your Garden with Our Free Workshop on Organic Gardening;Revitalize your garden with our free workshop on organic gardening....;A
Real Estate Workshop for First-Time Homebuyers;Real estate workshop for first-time homebuyers. Demystify the buying process...;B
Local Filmmakers: Join our Film Viewing and Critique Night;Local filmmakers: Join our film viewing and critique night. Share...;A
Ready for a Trivia Challenge?;Ready for a trivia challenge? Test your knowledge and win...;B
Check out this week's games;Support local high school sports. Check out this week's games...;A
Trading Card Enthusiasts Gather For;Trading card enthusiasts gather for our monthly swap meet. Trade...;B
Update Your Wardrobe;Update your wardrobe at our clothing swap event. Bring items...;A
I left my phone;Our local theater is seeking vintage 1920s-style costumes for their...;B
Come Help Us Get the Garden Ready for Winter;Volunteers needed for the community garden’s fall planting event next...;A
Weekly Meal-Prep Group;Anyone interested in joining a weekly meal-prep group? We get...;B
Heads Up! Roadwork Ahead on Elm Street;Heads up! Roadwork ahead on Elm Street starting from Monday....;A
We're thrilled to announce;We're thrilled to announce the launch of a new local...;B
Volunteers Needed!;Volunteers needed! We're looking for community members to help organize...;A
I'd like to give them away;My kids have outgrown their bicycles, and I'd like to...;B
Lost during the fun run:;Lost during the fun run: a digital sports watch, black...;A
Found a pair of children's glasses near Oak Grove Park.;Found a pair of children's glasses near the playground at...;B
Lost: a small drone with a red stripe;Lost: a small drone with a red stripe, last seen...;A
Restore the Old Mill This Weekend...;There's a community effort to restore the old mill and...;B
Lost: A Pair of Prescription Sunglasses at Sunset Park;Lost: A pair of prescription sunglasses at Sunset Park. They...;A
Lost a Gold Bracelet;Lost a gold bracelet near the central library. Significant emotional...;B
Main Street will undergo construction starting;Main Street will undergo construction starting from next Monday. Traffic...;A
I'm a freelance graphic designer;I'm a freelance graphic designer currently available for new projects....;B
Make Your Voice Heard!;The city council is hosting a town hall meeting next...;A
Explore the joys of acrylic painting this Saturday;Explore the joys of acrylic painting with our local art...;B
Volunteers Needed at Our Local Senior Center;Volunteers needed at our local senior center for engaging with...;A
Calling all green thumbs to contribute;Calling all green thumbs to contribute to our park’s community...;B
Found a set of keys near the city park entrance.;Found a set of keys near the city park entrance....;A
The annual book sale at the town hall is this...;Reminder: The annual book sale at the town hall is...;B
The Neighborhood Watch Group is Seeking New Members;The neighborhood watch group is seeking new members to help...;A
Free Cat Adoption Event;Free cat adoption event this weekend at the local animal...;B
Join Us for a Historical Walking Tour of the;Join us for a historical walking tour of the old...;A
The Environmental Cleanup Day;The environmental club is organizing a cleanup day at the...;B
Our community center is offering free yoga classes;Our community center is offering free yoga classes every Wednesday...;A
The deadline to pay your property taxes without penalty;Reminder: The deadline to pay your property taxes without penalty...;B
Lost: A special edition running watch;Lost: A special edition running watch last seen at the...;A
The local theater group is performing Shakespeare in the Park;The local theater group is performing Shakespeare in the Park...;B
Urgent: Blood Donors Needed;Urgent: Blood donors needed at the city hospital this Thursday....;A
Found: A child's stuffed bear in the playground;Found: A child’s stuffed bear in the playground on Elm...;B
Junior Soccer League Is Open For Registration;The junior soccer league is open for registration. Children ages...;A
Pothole Repairs Scheduled for Third Avenue Next Week;Pothole repairs are scheduled for Third Avenue next week. Expect...;B
A crafting meetup is happening;A crafting meetup is happening at the community hall next...;A
The Local Scout Troop is Looking for Kids;The local scout troop is looking for kids interested in...;B
A Pet Vaccination Clinic This Saturday;Attention pet owners: A pet vaccination clinic will be hosted...;A
Garage Sale This Weekend;Garage sale this weekend at the corner of Cedar and...;B
Community Alert: Reports of Suspicious Activities;Community Alert: There have been reports of suspicious activities in...;A
A Community Potluck is Scheduled for Next Month;A community potluck is scheduled for next month at the...;B
Our tennis club is hosting a tournament;Our neighborhood tennis club is hosting a tournament next month....;A
Lost: A Drone in the Park Area During Last Weekend's...;Lost: A drone in the park area during last weekend's...;B
Volunteers Needed to Help Organize;Volunteers needed to help organize the annual Harvest Festival. It's...;A
Property Taxes Due at the End of the Month;Reminder: Property taxes are due at the end of the...;B
The community choir is looking;The community choir is looking for new members to join...;A
A pair of prescription glasses at the community pool;Found: A pair of prescription glasses at the community pool....;B
The History of Photography;The local museum is offering a new exhibit on the...;A
Join us for the Annual Tree;Join us for the annual Tree Planting Day this Sunday...;B
Notice of Power Outages;Notice of power outages: Scheduled electrical maintenance will occur this...;A
Free Health Screening Event;Free health screening event at the community clinic this month....;B
Attention Parents! The Local Youth Center;Attention parents! The local youth center is now offering after-school...;B
City's Annual Arts Festival;The city's annual arts festival is seeking artists and performers...;B
Public Safety Notice: Please Remember to Lock Your;Public safety notice: Please remember to lock your vehicles and...;B
Calling all Musicians;Calling all musicians! The community orchestra is holding auditions next...;B
Does Anyone in the Neighborhood Offer Piano Lessons?;Does anyone in the neighborhood offer piano lessons? My daughter...;A
We Are Excited to Announce the Opening of the New...;We are excited to announce the opening of the new...;A
A pair of glasses was found in;Lost and Found: A pair of glasses was found in...;B
Learn How to Reduce Your Carbon Footprint;The Environmental Committee is hosting a workshop on sustainable living...;A
Join us for the Grand Unveiling of the New Mural;Join us for the grand unveiling of the new mural...;A
A Reminder to All Residents that the Disposal of Electronics...;PSA: A reminder to all residents that the disposal of...;B
A Heartfelt Thank You to All Who Participated;A heartfelt thank you to all who participated in last...;B
Discover the Rich History of Our Town;The Historical Society is offering guided tours of the old...;B
Public Notice: The Annual Water Quality;Public Notice: The annual water quality report is now available...;B
Strategy Game Night;Looking to start a regular game night focusing on strategy...;B
I'm Organizing a Series of Cooking Demos;I'm organizing a series of cooking demos featuring local chefs...;B
I've noticed a lot of Cleanliness;I've noticed a lot of litter around the community park...;A
Urgent: Our Local Animal Shelter is at Capacity;Urgent: Our local animal shelter is at capacity. If you've...;A
The City Park Department is Looking;The city park department is looking for volunteers to help...;A
Lost: A small drone in the Riverside Park;Lost: A small drone in the Riverside Park area, last...;A
The local jazz band will;The local jazz band will be performing live at the...;B
We're thrilled to announce the launch of;We're thrilled to announce the launch of a new local...;B
Free Vaccination Clinic Next Wednesday;Public Health Notice: A free vaccination clinic for influenza will...;B
