Subject Line A;Subject Line B;Target
"The annual ""Books on the Boulevard"" event is coming up....";"The annual ""Books on the Boulevard"" event is coming up.";B
Attention all tech enthusiasts: We're starting a coding bootcamp for...;Coding Bootcamp for Beginners Next Month;A
The community center's annual bake sale to support local homeless...;The Community Center's Annual Bake Sale This Saturday;B
Lost: Prescription glasses in a black case, possibly left on...;Lost Prescription Glasses in Black Case;A
Iím organizing a winter clothing drive for the homeless shelter...;I‚Äôm Organizing a Winter Clothing Drive for the Homeless Shelter;A
Is anyone interested in a weekly game night? I was...;Is Anyone Interested In A Weekly Game Night;B
Iím offering lawn mowing services this summer. I have my...;I'm offering lawn mowing services this summer.;A
The local art club is holding an outdoor painting session...;The Local Art Club is Holding an Outdoor Painting Session;B
The neighborhood council is hosting a forum to discuss upcoming...;Join us at the community hall next Tuesday at 6...;B
The local university extension is offering a series of lectures...;The Local University Extension Offers Free Lectures on Environmental Conservation;B
The local symphony orchestra will be giving a free concert...;Free Concert in the Park This Sunday at 5 PM;A
Volunteers needed for our annual river regatta next month. We...;Volunteers Needed for Our Annual River Regatta;A
Reminder: The community center will be closed this Monday for...;The Community Center Will Be Closed This Monday;B
A local bakery is celebrating its 5th anniversary with free...;FREE Cupcakes for Everyone!;B
Attention gardeners! The annual flower show is happening next weekend...;Attention gardeners! The annual flower show is happening next weekend...;A
Free yoga classes are being offered at the park every...;Free yoga classes at the park every Sunday morning this...;A
This Saturday, a vintage car parade will be held on...;This Saturday, Vintage Car Parade;B
Lost: a small, white and grey kitten near Elm Street....;LOST: Small, White and Grey Kitten Near Elm Street;B
This month, the local theater group is putting on performances...;The Great Gatsby Performances;A
A job fair will be hosted at the convention center...;A job fair will be hosted at the convention center...;B
The annual charity run will take place this Sunday at...;The Annual Charity Run;B
Book lovers! The library is hosting an author talk next...;Meet Bestselling Author;A
A reminder to all residents that street cleaning will occur...;Street Cleaning This Week - Move Your Vehicles;B
Upcoming workshop on personal finance management offered by our local...;Learn How to Budget, Save, and Invest Wisely;A
The local high school's music department will be giving a...;Free Concert This Friday Evening;B
For any local artisans, there's a craft fair this Sunday...;Craft Fair This Sunday;B
Neighborhood watch meeting scheduled for next Tuesday at the town...;Neighborhood Watch Meeting Scheduled for Next Tuesday;A
New Italian restaurant 'Bella Cucina' is having its grand opening...;Bella Cucina's Grand Opening Next Week!;B
Lost: A gold wristwatch near the fitness center. It holds...;A Gold Wristwatch Lost Near the Fitness Center;A
For sports enthusiasts, a ping pong tournament will be held...;For Sports Enthusiasts, Ping Pong Tournament at Recreation Center;A
Coffee and cake meetup at the senior center this Thursday....;Coffee and Cake Meetup This Thursday;A
Dog owners! There will be a pet adoption day next...;Dog owners, consider adding a furry friend to your family.;B
Wellness weekend coming up at the spa resort. Special rates...;Wellness Weekend Coming Up;A
Reminder: Please collect your post from the mail room regularly....;Reminder: Please Collect Your Post;B
Jazz night at the Blue Moon CafÈ this Saturday from...;Jazz Night at the Blue Moon Caf√©;A
Notice of road closure: Maple Street will be repaved next...;MAPLE STREET ROAD CLOSURE;A
History buffs! Join us for a guided tour of the...;Join Us for a Guided Tour of the Old Fortress;B
Call for volunteers at the food bank this Friday. Help...;Call for volunteers at the food bank this Friday;A
Lost: An e-reader device at the town beach. It has...;Lost E-reader Device at Town Beach;A
Kids' movie night at the public library this Friday. Showing...;The Jungle Book;B
Upcoming home improvement workshop at the local hardware store. Learn...;Upcoming Home Improvement Workshop;A
Annual winter carnival announced! Mark your calendars for a fun-filled...;Annual Winter Carnival Announced!;B
The neighborhood watch group is seeking new members. If you're...;Neighborhood Watch Group Seeking New Members;B
Iím offering lawn mowing services this summer. I have my...;I'm Offering Lawn Mowing Services This Summer;B
Urgent: Our local animal shelter is at capacity. If you've...;Urgent: Adoption fees waived this month;B
"The annual ""Books for Kids"" drive is happening now. We're...";"The annual ""Books for Kids"" drive is happening now.";A
Lost: a small, black leather wallet near the high school...;Lost: Small, Black Leather Wallet;B
Attention gardeners! This weekend, the community center will host a...;This Weekend's Plant Swap Event;B
Are you looking to refresh your wardrobe without breaking the...;Are you looking to refresh your wardrobe without breaking the...;A
Needing a babysitter? Several local teens have completed the certified...;Needing a Babysitter? Local Teens Available;B
The local library invites children ages 4-8 to join the...;Saturday Morning Story Hour;B
The city council will hold a public hearing on the...;Public Hearing on New Park Proposal Next Wednesday;A
Fresh produce alert: The farmers' market will be open this...;Fresh Produce Alert;A
Calling all musicians! There's an open mic night every Friday...;Calling All Musicians!;A
Reminder: Daylight saving time ends this weekend. Don't forget to...;Don't Forget to Turn Your Clocks Back;A
Yoga in the park is back! Free sessions every Sunday...;Yoga in the park is back!;B
Town hall meeting alert: A discussion on public transportation improvements...;Town Hall Meeting Alert;A
Driveway sale happening in Greenwood Lane this Saturday. Great bargains...;Driveway Sale This Saturday;A
Found: A small cat with a blue collar near Maple...;Found: A Small Cat with a Blue Collar near Maple...;B
The community theater group announces auditions for 'The Sound of...;The community theater group announces auditions for 'The Sound of...;A
Cleaning out your attic? Consider donating unwanted items to the...;Consider Donating Unwanted Items to the Annual Community Garage Sale;B
Book club meeting notice: This month's read is 'The Great...;This Month's Read Is 'The Great Gatsby';A
For rent: One-bedroom apartment overlooking the community park. Perfect for...;One-Bedroom Apartment Overlooking the Community Park;B
Volunteers needed! The annual river clean-up project is next month....;Volunteers Needed!;B
Reminder: Pet registration renewal is due at the end of...;Pet Registration Renewal Due;A
Piano lessons offered by experienced teacher in the area. Suitable...;Piano Lessons Offered in the Area;A
The sports complex is offering summer memberships at a discount....;Summer Memberships at a Discount;A
The high school marching band will perform at the city...;The High School Marching Band;A
Garage band competition at the community fair next month. Sign...;GARAGE BAND COMPETITION AT THE COMMUNITY FAIR;B
Road closure notice: Main Street will be partially closed for...;Road Closure Notice;B
Job alert: Local cafe is hiring part-time baristas. Great work...;Job Alert: Local Cafe Hiring Part-Time Baristas;A
Free art workshop at the community arts center this Sunday....;Free Art Workshop at the Community Arts Center;A
Reminder: The annual pet vaccination drive is happening this Saturday...;Protect Your Pets and Keep Them Healthy!;A
I'm offering guitar lessons in the evenings and weekends. Whether...;Guitar Lessons Available;A
The community center is offering free CPR and first aid...;FREE CPR and First Aid Training;A
Our community garden plots are now available for the coming...;Our community garden plots are now available for the coming...;A
If anyone is interested in a weekly knitting and crochet...;If anyone is interested in a weekly knitting and crochet...;B
Local school board meeting alert: Join us this Thursday evening...;Local school board meeting alert;A
Neighbourhood watch update: Increased patrols have begun in response to...;Increased Patrols Have Begun;A
Looking for a running partner? I run three times a...;Looking for a running partner?;B
Are you a local artist or craftsperson? We're setting up...;Are you a local artist or craftsperson?;A
Yoga classes now available at the fitness center! Beginners are...;Yoga Classes Now Available;B
Library reminder: The book club meets next Tuesday to discuss...;The Book Club Meets Next Tuesday;A
Anyone lost a grey tabby cat in the Maple Street...;Anyone Lost a Grey Tabby Cat in the Maple Street...;A
Join our neighborhood cleanup day!;Join Our Neighborhood Cleanup Day;A
Reminder: Dog walking is not allowed on the artificial turf...;Dog walking is not allowed on the artificial turf field...;A
Found: A pair of prescription glasses in a black case...;Found: A pair of prescription glasses in a black case...;A
Iím trying to find a home for a friendly stray...;I‚Äôm trying to find a home for a friendly stray...;B
The local youth soccer club is looking for sponsors for...;Businesses Needed for Local Youth Soccer Club;A
There's a new exhibit on regional wildlife at the Natural...;There's a new exhibit on regional wildlife at the Natural...;A
Does anyone have a ladder I can borrow for a...;I need to clean out my gutters;B
A documentary film about the history of our town is...;Documentary film about the history of our town premiering next...;B
Missing: One small drone, last seen flying near Maple Street...;MISSING: One small drone, last seen flying near Maple Street...;A
The local theatre is seeking donations of costumes and props...;The Local Theatre Seeks Donations of Costumes and Props;B
The annual community yard sale is scheduled for next Saturday...;Annual Community Yard Sale - Next Saturday;A
The community choir is seeking enthusiastic voices! Join us for...;The community choir is seeking enthusiastic voices!;B
Urgent requirement for canned food donations at our local food...;Urgent requirement for canned food donations;A
Exciting opportunity for creatives! A new arts magazine is looking...;Exciting opportunity for creatives!;A
Experiencing computer troubles? Any recommendations for a trusted local technician...;Experiencing Computer Troubles?;A
Found: Black hiking poles with blue grips at Mount Parker...;Found: Black Hiking Poles with Blue Grips at Mount Parker...;B
Reminder: Neighborhood watch meeting this Thursday at 7 PM at...;Neighborhood Watch Meeting This Thursday;A
Free yoga classes this weekend at the park! Bring a...;Free Yoga Classes This Weekend;A
Looking for volunteers to help with the annual town festival....;Looking for Volunteers to Help with Annual Town Festival;B
The community garden is now open for registration. Secure your...;The Community Garden Is Now Open For Registration;B
Lost dog alert: Small brown terrier, last seen near Oak...;LOST DOG ALERT: Small brown terrier, last seen near Oak...;A
Garage sale this Saturday on Elm St from 8 AM...;Garage Sale This Saturday;A
Book lovers unite! Join our monthly book discussion group. This...;Book Lovers Unite!;B
Opening soon: A new craft bakery in town. We ......;Opening Soon: A New Craft Bakery in Town;A
Street art competition this month. Artists wanted! Showcase your skills...;Street Art Competition This Month;A
Tree planting event next month ‚Äì volunteers needed to help...;Tree Planting Event Next Month;A
Piano teacher offering lessons for all ages and skill levels....;Piano teacher offering lessons for all ages;B
Lost cat: Grey with white paws, very friendly. Last seen...;Grey with white paws, very friendly.;B
Neighborhood car wash fundraiser this Sunday at the high school...;Neighborhood Car Wash Fundraiser This Sunday;A
Local theater group holding auditions for 'A Midsummer Night's Dream'....;A Midsummer Night's Dream Auditions;A
Local artisan market this Sunday ‚Äì come support our talented...;Local Artisan Market This Sunday;B
Notice for roadworks on Main St. starting next week. Expect...;ROADWORKS ON MAIN ST. STARTING NEXT WEEK;A
Seasonal flu vaccinations available at the community health center. Protect...;Protect yourself and your family;B
Lost: Digital camera near the community center. Contains personal photos....;Lost Digital Camera;B
Coffee morning for new residents. Come meet your neighbors and...;Coffee Morning for New Residents;A
Free computer programming workshop this weekend at the library. Beginners...;Free Computer Programming Workshop This Weekend;A
Historical society lecture on the town's founding pioneers. Join us...;Historical Society Lecture;B
Keep our parks clean! Participate in the community cleanup this...;Keep Our Parks Clean!;A
Thinking of adopting a pet? Visit our local animal shelter...;Thinking of adopting a pet? Visit our local animal shelter...;B
Urgently needed: Volunteers for the community soup kitchen. Help provide...;Urgently Needed: Volunteers for Community Soup Kitchen;A
Spice up your weekend with our international food fair at...;Taste the world√¢‚Ç¨‚Ñ¢s cuisine!;A
Found: A small gold ring at the city park near...;Found: Small Gold Ring at City Park;B
The seniors' center is looking for volunteer drivers to help...;Volunteer Drivers Needed for Weekly Grocery Shopping Trips;A
The annual community clean-up day is fast approaching. Gather at...;Annual Community Clean-up Day Next Saturday;B
Reminder: Property taxes are due at the end of the...;Property Taxes Due;B
The city's annual jazz festival is looking for volunteers. If...;The City's Annual Jazz Festival;B
Community service reminder: Please keep sidewalks clear of leaves and...;Please keep sidewalks clear of leaves and debris.;B
Our local pet shelter is in desperate need of foster...;Our Local Pet Shelter Needs Foster Homes for Kittens;B
We're starting a community cycling group that will meet every...;We're Starting a Community Cycling Group;B
I'm a professional photographer offering mini photo sessions this weekend...;I'm a professional photographer offering mini photo sessions this weekend...;A
The neighborhood association is looking for articles and photos for...;The neighborhood association is looking for articles and photos for...;B
The local veterans' group is organizing a charity raffle to...;The local veterans' group is organizing a charity raffle to...;A
I'm offering tutoring services for middle and high school students...;I'm Offering Tutoring Services for Middle and High School Students;A
Join us for the annual Tree Planting Day this Sunday...;Bring a shovel and gloves, and help us beautify our...;B
There will be a CPR and first aid training session...;CPR and First Aid Training Session This Saturday;A
Please message me if interested.;Please message me if interested.;B
I‚Äôm trying to find a home for a friendly stray...;I√¢‚Ç¨‚Ñ¢m trying to find a home for a friendly stray...;B
The annual food drive for the local pantry starts next...;The annual food drive for the local pantry starts next...;A
We are initiating a neighborhood carpool program. If you're interested...;Neighborhood Carpool Program;A
It has great sentimental value as it was a gift....;If Found, Please Contact Me;A
Lost: A small drone, last seen flying over Maple Park...;Lost: A small drone, last seen flying over Maple Park...;A
Friendly dog found near Elm Street. Appears to be a...;Friendly Dog Found Near Elm Street;B
Reminder: Community potluck this Saturday at 5 PM in the...;Community potluck this Saturday at 5 PM;B
Looking for volunteers to help with the school fundraiser event...;Looking for Volunteers to Help with School Fundraiser;A
Missing cat: Black and white tuxedo, very shy. Last seen...;Missing Cat: Black and White Tuxedo;B
Join us for our annual Easter egg hunt this Sunday...;Join Us for Our Annual Easter Egg Hunt This Sunday;B
Free piano lessons offered at the local library every Wednesday....;Limited slots available for free piano lessons at the local...;A
Garage sale this weekend at 45 Oak Avenue. Come and...;Garage Sale This Weekend at 45 Oak Avenue;A
Free yoga classes available at the community center. Classes every...;Free Yoga Classes Available;B
Urgent: Volunteers needed for the riverside clean-up project this Saturday....;Urgent: Volunteers Needed for Riverside Clean-up Project;B
Lost: Silver locket with a picture inside, highly sentimental. Lost...;Silver Locket with a Picture Inside;B
Neighborhood watch meeting this Wednesday at 7 PM. Discussing recent...;Neighborhood Watch Meeting this Wednesday;A
Found: Set of car keys near the Main Square. Please...;Found: Set of car keys near the Main Square.;B
Reminder: Book club meeting tonight at the public library. Discussing...;To Kill a Mockingbird;A
Request for old magazines and books for the senior center....;Request for old magazines and books for senior center.;B
Help needed: Looking for someone to assist with walking dogs...;Looking for someone to assist with walking dogs at the...;B
Lost: Kids‚Äô backpack, red with superheroes design, near town playground....;Lost: Kids√¢‚Ç¨‚Ñ¢ backpack, red with superheroes design;A
Neighborhood BBQ this Sunday! Join us at Green Meadow Park...;Neighborhood BBQ this Sunday;A
Found: Kids‚Äô plush toy near the community garden. If yours,...;Found: Kids√¢‚Ç¨‚Ñ¢ plush toy near the community garden;A
Substitute teacher needed for community art class. If you have...;Substitute teacher needed for community art class.;A
Lost: Prescription glasses, black frame, near the downtown cafe last...;Lost: Prescription Glasses, Black Frame;A
Found: Bracelet with charms, looks antique. Found on Oak Street,...;Bracelet with charms, looks antique found on Oak Street;B
Community garden plots now available for the spring season. If...;Community Garden Plots Now Available;B
Lost: Small notebook, blue cover, with personal notes, near High...;Lost: Small notebook, blue cover, with personal notes;A
Help request: Moving assistance needed this Friday from 9 to...;Moving Assistance Needed This Friday;A
Curbside pickup for large trash items starts next week. Ensure...;Curbside Pickup for Large Trash Items Starts Next Week;A
Attention dog owners: A new dog park is opening next...;Attention Dog Owners: A New Dog Park is Opening;B
Our neighborhood watch is organizing a meeting to discuss recent...;Vehicle Break-ins: Meeting on Tuesday at 7 PM;B
Reminder: Property taxes are due at the end of the...;Property Taxes Are Due At The End Of The Month.;A
We're looking for local bands to perform at the upcoming...;Local bands wanted for community festival;B
The annual haunted house fundraiser is back! We're looking for...;The annual haunted house fundraiser is back!;B
New Book Club Alert: Lovers of literature are invited to...;New Book Club Alert;A
A community yard sale is scheduled for next month. ...;A Community Yard Sale Is Scheduled For Next Month;A
It's time for our quarterly park cleanup initiative. Gather your...;It's Time for Our Quarterly Park Cleanup Initiative;B
Local Art Exhibition: Visit the town hall this weekend to...;Local Art Exhibition;A
Calling all photographers! The city is hosting a photography contest...;Calling all photographers! The city is hosting a photography contest...;A
Streetlight maintenance is scheduled to start next Monday. Expect minor...;Streetlight Maintenance Scheduled Next Monday;B
Free Yoga classes will be starting next week in the...;Free Yoga classes will be starting next week in the...;A
Blood drive this weekend at the community shelter. We need...;Blood Drive This Weekend at the Community Shelter;A
The local school board is seeking input on new curricular...;Seeking Input on New Curricular Changes;A
Pothole repair on Main Street begins tomorrow. Traffic may be...;Pothole repair on Main Street begins tomorrow.;B
Fall is here and so is our annual Pumpkin Fest!...;Fall is here and so is our annual Pumpkin Fest!;A
Homeowners' meeting to discuss upcoming changes in the community bylaws....;Upcoming Changes in Community Bylaws;B
Our local firefighters are hosting a 'Fire Safety Day.' Learn...;Fire Safety Day;A
Gardening enthusiasts, join our 'Grow Green' workshop this Thursday at...;Gardening Enthusiasts Join Grow Green Workshop;A
Lost Pet Alert: A black and white cat has been...;LOST PET ALERT: A black and white cat has been...;B
This Sunday, enjoy a family movie night under the stars...;This Sunday, Enjoy a Family Movie Night;A
Sports league registrations are now open for soccer, basketball, and...;Sports League Registrations Are Now Open;A
Neighborhood Cookout: Bring your best dishes and enjoy a day...;Neighborhood Cookout: Bring your best dishes and enjoy a day...;B
Elder care workshop available this month. Learn valuable caregiving techniques...;Elder Care Workshop Available This Month;B
Interested in quilting? Join our weekly quilting bee, each Monday...;Interested in quilting? Join our weekly quilting bee;A
Green initiative: We're planting 100 trees in our neighborhood this...;Green initiative: We're planting 100 trees in our neighborhood this...;B
Winter weather advisory: Please clear sidewalks of snow and ice...;Winter Weather Advisory;A
Lost and found: Missing a bicycle or a set of...;Lost and Found;B
Entrepreneur meet-up this Thursday at the community caf√©. Connect, share...;Connect, Share Ideas, and Network with Local Business Owners;B
A reminder that the community pool will be closed for...;Community Pool Closure Reminder;B
A note to all dog owners: Please clean up after...;Please clean up after your pets while in public areas.;B
If anyone is interested in participating in a community quilt...;If anyone is interested in participating in a community quilt...;B
The neighborhood association is looking for articles and photos for...;The neighborhood association is looking for articles and photos for...;A
Volunteers are needed to help set up and take down...;Volunteers Needed for Harvest Festival;A
The community theater is seeking donations of old costumes and...;The Community Theater Seeks Donations of Old Costumes;A
The local veterans' association is organizing a community picnic next...;The local veterans' association is organizing a community picnic next...;B
Let's clean up our beaches! I'm organizing a beach clean-up...;Let's Clean Up Our Beaches;A
To the person who helped me jump-start my car near...;Thank you for helping me jump-start my car near the...;B
"Our annual ""Light Up the Night"" holiday parade is seeking...";"""Light Up the Night"" Holiday Parade";A
The local business association is hosting a networking event for...;The local business association is hosting a networking event for...;B
Visit the community center next Wednesday between 10 AM and...;Visit the community center next Wednesday between 10 AM and...;B
If anyone in the neighborhood teaches piano, please contact me....;My Child Is Eager To Start Learning;A
Attend the local veterans' group charity raffle. Help support valuable...;Help Support Local Veterans;B
Deadline alert! Register by next Saturday for the community soccer...;Deadline Alert! Register by next Saturday for the community soccer...;A
Help beautify our neighborhood this Saturday! Volunteers needed to pick...;Join Us at the Community Park this Saturday!;A
Talent wanted! Our community theater group is holding auditions next...;Talent Wanted!;A
Huge neighborhood garage sale this Sunday at Pine Street. Find...;Huge Neighborhood Garage Sale This Sunday;B
Donate your old books to support our local schools. Drop-off...;Donate your old books to support our local schools;B
Looking for a furry friend? Visit the animal shelter this...;Looking for a furry friend? Visit the animal shelter this...;B
Got too many plants? Join the garden club's plant swap...;Got too many plants? Join the garden club's plant swap...;A
Relax and enjoy an evening of jazz music at the...;Enjoy an Evening of Jazz Music this Friday;A
Looking for work? Visit our part-time job fair next Wednesday...;Numerous local businesses hiring!;A
Our community garden has a few plots available for the...;Our Community Garden Has Plots Available;A
Found: A child‚Äôs drawing pad with sketches, found on a...;Superhero Drawings Found;B
A reading group is forming at the local library for...;Agatha Christie's Classics;B
Public safety notice: Please remember to lock your vehicles and...;Public Safety Notice: There Has Been an Uptick in Theft;A
Looking for recommendations for a reliable babysitter in the area....;Looking for recommendations for a reliable babysitter in the area.;B
Urgent: Our local animal shelter is full! Please consider adopting...;Urgent: Adoption Fees Waived;B
Weekly movie night at my place! Join us for classic...;Weekly Movie Night at My Place!;A
Join our weekly meal-prep group! Cook bulk meals for the...;Join Our Weekly Meal-Prep Group!;A
I craft handmade jewelry and plan to sell at the...;I Craft Handmade Jewelry;A
Free health clinic this Saturday at the community center, 9...;Free Health Clinic This Saturday;B
Pet Adoption Urgency: The shelter is overflowing. Adopt your new...;The Shelter Is Overflowing. Adopt Your New Best Friend;A
Classic Film Nights: Every week at my house. Bring snacks...;Classic Film Nights;B
Meal Prep Fun: Gather each week to cook and chat....;Meal Prep Fun;B
Jewelry Maker Seeking Tips: Setting up a booth at the...;Seeking Tips: Setting up a booth at the farmers' market.;B
Health Check Opportunities: Free clinic this Saturday, don't miss out...;Free Clinic This Saturday - Don't Miss Out!;B
Adopt a Pet Today: Help reduce the shelter's burden, no...;Adopt a Pet Today: Help reduce the shelter's burden, no...;A
Movie Lovers Alert: Hosted weekly at my place. Dive into...;Movie Lovers Alert;B
Cooking Collective: Weekly session;Cooking Collective: Weekly Session;A
Jewelry Selling at Local Markets: Seeking advice to start;Jewelry Selling at Local Markets;A
Essential Health Services Free: Blood pressure, flu shots at the...;Free Health Services;A
Pets Need Homes: No fees this month. Add a furry...;No fees this month. Add a furry member to your...;B
Film Enthusiasts Invited: Weekly classics screening in a prime setup.;Weekly Classics Screening;A
Community Cooking: Join us for meal-prepping and tips exchange.;Community Cooking;B
Local Artisan Advice: Starting a market booth for handmade crafts.;Starting a market booth for handmade crafts.;B
Free Medical Services: This weekend at the community center. Stay...;Free Medical Services;A
Animal Shelter Crisis: Urgent help needed to adopt pets. Fee...;Animal Shelter Crisis: Urgent help needed to adopt pets.;A
Enjoy Classic Movies: Weekly gatherings at a home theater setup.;Enjoy Classic Movies;A
Meal Preparation Together: Save on week's meals and make new...;Meal Preparation Together;B
Advice for Craft Market Booths: Looking for experienced insights.;ADVICE FOR CRAFT MARKET BOATHS;A
Health Screenings Available: Come get your flu shot and more...;Health Screenings Available: Come get your flu shot and more...;B
Help Local Shelters: Adopt a pet for free this month....;Adopt a pet for free this month. They need your...;B
Gather for Movie Classics: Share the joy of cinema weekly.;Gather for Movie Classics;A
Weekly Meal Prep Meet-Up: Cook in bulk and share culinary...;Weekly Meal Prep Meet-Up;B
Tips for Market Vendors: Insights on selling handmade jewelry.;Tips for Market Vendors;B
Healthcare Services for Free: Don't miss this Saturday's community health...;Healthcare Services for Free;B
Notice of power outages: Scheduled electrical maintenance will occur this...;Notice of power outages: Scheduled electrical maintenance will occur this...;B
Missing: One small drone, last seen flying near Maple Street...;Missing: One small drone, last seen flying near Maple Street...;A
I found a set of keys near the bus stop...;I FOUND A SET OF KEYS NEAR THE BUS STOP;B
I‚Äôm offering math tutoring for high school students. If your...;I'm Offering Math Tutoring for High School Students;A
We've noticed an increase in graffiti and vandalism at the...;Increase in Graffiti and Vandalism at Local Park;B
Join us this Saturday to revitalize the historic Johnson's Field!...;Join Us This Saturday To Revitalize Historic Johnson's Field!;B
Interested in local history? Volunteer for the library‚Äôs archive sorting...;Interested in Local History?;A
Reminder! Free pilates sessions every Wednesday at 6 PM in...;Free Pilates Sessions Every Wednesday;A
Calling all artists! Contribute your skills to the mural project...;Calling all artists!;B
Book lovers unite for the annual book swap event next...;Book Swap Event;A
Pet adoption day this Sunday at Pet Haven Shelter! Come...;Pet Adoption Day This Sunday at Pet Haven Shelter!;A
Gardeners, gear up for the Spring Seed Swap at Green...;Spring Seed Swap at Green Thumb Alley this Saturday!;B
DIY Workshop! Learn how to upcycle furniture this Tuesday at...;DIY Workshop!;A
Neighborhood watch meeting at the town hall this Monday at...;Neighborhood Watch Meeting at Town Hall;A
Fitness fun day in Riverside Park next Sunday! Activities include...;Fitness Fun Day in Riverside Park Next Sunday;B
Tech help day! Volunteers needed to assist seniors with using...;Tech Help Day!;B
Foodies alert! The annual Pie Bake-Off is happening at the...;Foodies Alert! The Annual Pie Bake-Off Is Happening;A
Local theater group is seeking volunteers for their upcoming production's...;Local Theater Group Seeking Volunteers for Set Design;A
Join the conversation at the Town Hall this Wednesday at...;Join the conversation at the Town Hall this Wednesday at;B
Craft Fair next weekend at Oakwood School! Local artisans will...;Craft Fair next weekend at Oakwood School!;B
Have a green thumb? Help plant new trees at Liberty...;Have a green thumb?;A
Clean Water Project meeting this Thursday at the community office....;Clean Water Project this Thursday;A
Historic walking tour of Old Town every Saturday morning. Discover...;Historic Walking Tour of Old Town;A
Join our monthly book club at the library this Tuesday....;"""The Great Gatsby""";A
Run for a cause! Charity 5K run next Wednesday at...;Run for a cause! Charity 5K run next Wednesday at...;A
Neighborhood cleanup day is around the corner! Meet at Pine...;Neighborhood Cleanup Day This Sunday;A
Chess enthusiasts! Weekly chess nights start this Thursday at the...;Weekly Chess Nights Start This Thursday;B
Get ready for the Kids Talent Show! It's going down...;Get Ready for the Kids Talent Show!;B
Update your wardrobe at the Clothing Swap Event next Friday...;Update Your Wardrobe;A
Zumba party at Central Gym every Monday at 7 PM....;Zumba party every Monday at 7 PM;B
Harvest Celebration at the Heritage Farm next Saturday. Enjoy local...;Harvest Celebration next Saturday.;A
Learn about local bird species at our Bird Watching Club....;Learn about Local Bird Species;A
Film night under the stars at the community park this...;Film Night Under the Stars This Friday;B
Join our city‚Äôs Citizen Assembly to discuss upcoming projects and...;Your Voice Matters!;B
Volunteer with us at the local animal shelter this weekend....;Help Make a Difference for Animals in Need;A
Urgent: Our local library is at capacity with books waiting...;Urgent: Our local library is at capacity with books waiting...;A
If anyone is interested in participating in a community reading...;If anyone is interested in participating in a community reading...;B
Lost: A book with a bookmark, last seen at the...;Lost: A book with a bookmark, last seen at the...;B
The city literacy program is looking for volunteers to help...;The City Literacy Program;B
My neighbor is raising money for her book club by...;If You Need Help With Reading Skills;A
Reminder: the town's annual holiday market is this Saturday from...;The town's annual holiday market;A
Attention all book lovers! The library will be hosting a...;Used Bookstore Sale Next Friday;B
Community Alert: the town's fire department is conducting a training...;Community Alert: Fire Department Training Exercise;A
Fun for all ages! The community center will be hosting...;Fun for all ages!;A
Nature enthusiasts! Join us for a guided hike through our...;Join us for a guided hike through scenic trails this...;B
Free Computer Classes: Basic computer skills at the community center...;Free Computer Classes;A
I‚Äôm organizing a neighborhood potluck dinner for next Friday night....;I'm Organizing a Neighborhood Potluck Dinner;B
The annual town festival is scheduled for this weekend from...;Annual Town Festival This Weekend;A
Local artists! Join us for a painting class series starting...;Local Artists Join Painting Class Series;B
The annual Fall Festival will be held on October 15th...;Enjoy Live Music, Food Trucks;A
Attention dog owners: the local animal shelter is hosting a...;Attention Dog Owners;B
The school's PTA is organizing a fundraiser bake sale next...;Fundraiser Bake Sale Next Friday;A
Join us for a free outdoor yoga class on Sunday...;Free Outdoor Yoga Class on Sunday at 9:30 AM;B
The local library is hosting an author reading series, featuring...;Author Reading Series;B
Lost and found: Missing a bookshelf or a set of...;LOST AND FOUND: Missing a bookshelf or a set of...;A
There's a community effort to restore the old park playground...;There's a community effort to restore the old park playground;A
Join us for a nature photography walk in the nearby...;Join Us for a Nature Photography Walk in the Nearby...;A
I'm organizing a series of art classes featuring local artists...;I'm organizing a series of art classes;A
Cleaning out your closet? Consider donating unwanted clothes to the...;Consider Donating Unwanted Clothes;B
Looking for a workout buddy or someone to play chess...;Looking for a workout buddy or someone to play chess...;B
Community Clean-Up: Join us for a day of cleaning up...;Join us for a day of cleaning up our community!;A
Local Artist Showcase: Come out and support local artists by...;Local Artist Showcase;A
Senior Citizen Appreciation Day: Show your appreciation for our senior...;Senior Citizen Appreciation Day;B
Community Garden Project: Help us grow a greener community by...;Help Us Grow a Greener Community;B
Charity Run/Walk: Join forces with local charities for a fun...;Join forces with local charities for a fun run/walk event;B
Calling all book lovers! The library is hosting a used...;Used Bookstore Sale This Weekend;B
Get ready to groove! Our community center will be hosting...;Get Ready to Groove!;A
Attention shoppers! The annual holiday market is coming up this...;Annual Holiday Market This Weekend;B
Help us give back to our community! Our church will...;Help Us Give Back To Our Community!;A
Calling all car enthusiasts! The local classic car club is...;Calling all car enthusiasts! The local classic car club is...;B
Local Farmers' Market: Fresh produce, baked goods, and handmade crafts...;Fresh produce, baked goods, and handmade crafts await you at...;A
Volunteer Opportunity: Help out at the local animal shelter by...;Help out at the local animal shelter;B
Community Potluck Dinner: Join us for an evening of food,...;Join us for an evening of food, fun, and fellowship...;A
Yoga Classes: Get flexible and relaxed with our weekly yoga...;Get Flexible and Relaxed with Our Weekly Yoga Sessions;A
Book Club Meeting: Discuss the latest bestseller with fellow book...;Book Club Meeting;A
Join us for our annual charity walk/run this Saturday at...;Join us for our annual charity walk/run this Saturday at...;A
The community center is offering free dance classes every Wednesday...;The Community Center Offers Free Dance Classes;B
