Base Generation;Rules based generation
The city council is seeking public feedback on the new bike lanes installed downtown.;"Volunteers needed for the community food bank this Friday. We're...
"
"The high school drama club is performing their spring play, ""The Importance of Being Earnest,"" next week.";"The high school drama club is performing their spring play,...
"
Drone found in Thompson Field with camera attached;"Found: A drone in Thompson Field, likely from a recent...
"
Neighborhood safety workshop next Tuesday at 6 PM;"The neighborhood watch program is organizing a safety workshop focused...
"
Annual book sale accepting donations of used books;"The annual book sale at the library is now accepting...
"
Babysitting and pet sitting services available;"Need a helping hand? IÂ’m available for babysitting or pet...
"
Extra copy of bestseller book for sale;"I accidentally ordered two of the same book online. It's...
"
Lost: Small gold earring with blue gemstone;"Lost: A small gold earring with a blue gemstone, possibly...
"
City survey on community's recreational needs;"The city is conducting a survey to understand the communityÂ’s...
"
Volunteers needed for veterans' home activities;"The local veterans' home is looking for volunteers to spend...
"
Reminder: Fourth of July fireworks display;"Reminder: The annual fireworks display for the Fourth of July...
"
Environmental club cleanup at Beachy Head this Saturday;"The environmental club is leading a cleanup at Beachy Head...
"
Lost: A set of keys with a red fob, last seen near the high school gym.;"Lost: A set of keys with a red fob, last...
"
Attention all runners: The community 5K is just around the corner.;"Attention all runners: The community 5K is just around the...
"
The crafters guild is hosting a workshop on how to make your own candles.;"The crafters guild is hosting a workshop on how to...
"
Reminder: No parking on Main Street this Saturday due to the parade.;"Reminder: No parking on Main Street this Saturday due to...
"
The community orchestra is looking for musicians who play woodwind instruments.;"The community orchestra is looking for musicians who play woodwind...
"
We’re putting together a community quilt and looking for contributors.;"WeÂ’re putting together a community quilt and looking for contributors....
"
Found: A child's drawing pad filled with sketches, left behind at Central Park near the fountain.;"Found: A child's drawing pad filled with sketches, left behind...
"
The city is updating its zoning regulations.;"The city is updating its zoning regulations. A public hearing...
"
The downtown farmers' market is now open every Sunday from 8 AM to 2 PM.;"The downtown farmers' market is now open every Sunday from...
"
Attention all pet owners: A free vaccination clinic for pets will be held at the animal shelter next Saturday from 10 AM to 4 PM.;"Attention all pet owners: A free vaccination clinic for pets...
"
